Score,Sugestao,Ticker
3,Potencial Compra,A
1,Neutro,AAPL
3,Potencial Compra,ABBV
3,Potencial Compra,ABNB
1,Neutro,ABT
1,Neutro,ACGL
1,Neutro,ACN
-1,Neutro,ADBE
1,Neutro,ADI
3,Potencial Compra,ADM
3,Potencial Compra,ADP
1,Neutro,ADSK
3,Potencial Compra,AEE
3,Potencial Compra,AEP
-1,Neutro,AES
-1,Neutro,AFL
1,Neutro,AIG
1,Neutro,AIZ
-1,Neutro,AJG
3,Potencial Compra,AKAM
1,Neutro,ALB
1,Neutro,ALGN
3,Potencial Compra,ALL
1,Neutro,ALLE
1,Neutro,AMAT
3,Potencial Compra,AMCR
1,Neutro,AMD
-1,Neutro,AME
3,Potencial Compra,AMGN
-1,Neutro,AMP
3,Potencial Compra,AMT
-1,Neutro,AMZN
1,Neutro,ANET
-1,Neutro,AON
1,Neutro,AOS
-1,Neutro,APA
1,Neutro,APD
3,Potencial Compra,APH
1,Neutro,APO
-1,Neutro,APTV
1,Neutro,ARE
1,Neutro,ATO
1,Neutro,AVB
3,Potencial Compra,AVGO
1,Neutro,AVY
-1,Neutro,AWK
1,Neutro,AXON
-1,Neutro,AXP
1,Neutro,AZO
-1,Neutro,BA
1,Neutro,BAC
3,Potencial Compra,BALL
-1,Neutro,BAX
1,Neutro,BBY
1,Neutro,BDX
3,Potencial Compra,BEN
-,Dados Insuf.,BF.B
1,Neutro,BG
1,Neutro,BIIB
1,Neutro,BK
-3,Evitar,BKNG
-1,Neutro,BKR
1,Neutro,BLDR
1,Neutro,BLK
-1,Neutro,BMY
1,Neutro,BR
-,Dados Insuf.,BRK.B
-1,Neutro,BRO
-1,Neutro,BSX
1,Neutro,BX
1,Neutro,BXP
1,Neutro,C
1,Neutro,CAG
-1,Neutro,CAH
1,Neutro,CARR
1,Neutro,CAT
1,Neutro,CB
-1,Neutro,CBOE
1,Neutro,CBRE
1,Neutro,CCI
3,Potencial Compra,CCL
1,Neutro,CDNS
1,Neutro,CDW
-1,Neutro,CEG
-1,Neutro,CF
-1,Neutro,CFG
1,Neutro,CHD
1,Neutro,CHRW
1,Neutro,CHTR
1,Neutro,CI
3,Potencial Compra,CINF
-1,Neutro,CL
1,Neutro,CLX
-1,Neutro,CMCSA
1,Neutro,CME
1,Neutro,CMG
3,Potencial Compra,CMI
1,Neutro,CMS
-3,Evitar,CNC
3,Potencial Compra,CNP
1,Neutro,COF
-1,Neutro,COIN
1,Neutro,COO
3,Potencial Compra,COP
-3,Evitar,COR
1,Neutro,COST
1,Neutro,CPAY
1,Neutro,CPB
1,Neutro,CPRT
1,Neutro,CPT
3,Potencial Compra,CRL
-1,Neutro,CRM
-3,Evitar,CRWD
1,Neutro,CSCO
1,Neutro,CSGP
1,Neutro,CSX
1,Neutro,CTAS
-1,Neutro,CTRA
1,Neutro,CTSH
-1,Neutro,CTVA
-1,Neutro,CVS
3,Potencial Compra,CVX
-1,Neutro,CZR
1,Neutro,D
1,Neutro,DAL
1,Neutro,DASH
3,Potencial Compra,DAY
3,Potencial Compra,DD
-1,Neutro,DDOG
3,Potencial Compra,DE
1,Neutro,DECK
1,Neutro,DELL
1,Neutro,DGX
3,Potencial Compra,DHI
1,Neutro,DHR
-3,Evitar,DIS
1,Neutro,DLR
1,Neutro,DLTR
-1,Neutro,DOC
1,Neutro,DOV
-1,Neutro,DOW
3,Potencial Compra,DPZ
1,Neutro,DRI
3,Potencial Compra,DTE
1,Neutro,DUK
-1,Neutro,DVA
1,Neutro,DVN
3,Potencial Compra,DXCM
-3,Evitar,EA
1,Neutro,EBAY
1,Neutro,ECL
3,Potencial Compra,ED
1,Neutro,EFX
1,Neutro,EG
1,Neutro,EIX
3,Potencial Compra,EL
1,Neutro,ELV
-1,Neutro,EMN
1,Neutro,EMR
1,Neutro,ENPH
1,Neutro,EOG
1,Neutro,EPAM
3,Potencial Compra,EQIX
3,Potencial Compra,EQR
1,Neutro,EQT
3,Potencial Compra,ERIE
3,Potencial Compra,ES
1,Neutro,ESS
1,Neutro,ETN
3,Potencial Compra,ETR
3,Potencial Compra,EVRG
1,Neutro,EW
3,Potencial Compra,EXC
1,Neutro,EXE
1,Neutro,EXPD
1,Neutro,EXPE
3,Potencial Compra,EXR
3,Potencial Compra,F
1,Neutro,FANG
1,Neutro,FAST
-1,Neutro,FCX
1,Neutro,FDS
3,Potencial Compra,FDX
-1,Neutro,FE
1,Neutro,FFIV
1,Neutro,FI
1,Neutro,FICO
